customer_id,nombre,apellido,direccion,telefono,email
1,Erin,Jones,"22000 Cooke Bypass Suite 027
West Chelseachester, IN 66797",(708)253-1945x5179,castromisty@example.net
2,Danielle,Gutierrez,"4098 Christine Harbors
North Josephborough, SC 25839",762-929-9904,amcdaniel@example.net
3,Sean,Bailey,"44490 Aaron Island
Jesseshire, PW 79384",652-602-9788x59850,victoria42@example.com
4,Victoria,Jones,"6100 Austin Views
New Sarahhaven, PR 82793",2742718656,rmontgomery@example.com
5,Heather,Becker,"594 Palmer Burg Apt. 556
Smithfort, GU 44824",(944)917-3553,jerrydaniels@example.net
6,Karen,Jones,"571 Hall Radial
Anthonyshire, MD 62456",001-323-470-5770x669,brandiboyd@example.net
7,Erin,Clayton,"5138 Simpson Mountains
New Wesley, MA 03481",873-459-4668,harrismark@example.com
8,Jason,Nguyen,"21851 Christopher Station
Smithside, MI 84926",3865627946,christinecolon@example.com
9,Lisa,Archer,"21618 Katherine Curve
Stantonfort, PR 72725",(967)798-1712x919,afleming@example.org
10,Alexa,Singh,"USNV Evans
FPO AP 66529",001-708-595-4437,robinkennedy@example.net
11,Nicholas,Martinez,"248 Dickerson Lodge
West Sheri, KS 36244",001-706-351-9909,matthew18@example.com
12,Caitlin,Boyle,"Unit 4251 Box 2951
DPO AA 21883",641-610-6971,emma41@example.org
13,Justin,Arnold,"PSC 4884, Box 4960
APO AE 58045",(754)421-9925,owhitaker@example.net
14,Emily,Barnes,"30986 Austin Bypass Apt. 458
Petersonfurt, MT 39679",+1-622-393-6761x7310,sherryduarte@example.org
15,Brandon,Pacheco,"6740 Christian Falls
Lake Robertland, PW 83130",3232399543,ryanguzman@example.org
16,Jonathon,Torres,"0923 Burns Cliffs
Davisfurt, NH 45480",4049796275,rwilson@example.org
17,Veronica,Hood,"USNV Montoya
FPO AP 32989",416-782-0396x408,rmclean@example.com
18,Elizabeth,Dixon,"PSC 4605, Box 8687
APO AE 16187",886.538.7260,christophergallegos@example.com
19,Barbara,Jones,"72836 Ward Neck
Allenchester, MI 39027",4396250652,olsenmartin@example.net
20,Lisa,Vasquez,"5695 Jason Plain Suite 955
East Lisa, AZ 33770",374.646.4784,vegaruben@example.net
